201;M. Iliopsoas;<li>M. Psoas major</li><li>M. Psoas minor</li><li>M. Iliacus</li>;M. Psoas major:<br>Art. Coxae, Intervertebrallederna Th12-L5.<br><brM. Iliacus:<br>Art. Coxa.;M. Psoas major:<br>Anteriort corpus vertebrae Th12-L4 samt dess discus intervertebralis. Processus costarius L1-L5.<br><br>M. Psoas minor:<br>Discus intervertebralis mellan Th12-L1 samt laterala delarna av angränsande corpus vertebrea på samma kotor.<br><br>M. Iliacus:<br>Fossa iliaca. Crista iliaca (labium internum). Spina iliaca anterior inferior.;M. Psoas major:<br>Trochanter minor.<br><br>M. Psoas minor:<br>Eminentia iliopectinea.<br><br>M. Iliacus:<br>Trochanter minor.;M. Psoas minor:<br>Spänner upp fascia iliaca.;M. Psoas major:<br>Lateralflexion av bålen vid fixerat fäste. Kontralateral rotation av bålen vid fixerat fäste.;M. Psoas major:<br>Flexion i art. Coxa. Utåtrotation i art. Coxa. Adduktion i art. Coxa. Horisontaladduktion i art. Coxa.<br><br>M. Iliacus:<br>Flexion i art. Coxae. Utåtrotation i art. Coxa. Adduktion i art. Coxa.;M. Psoas major:<br>Tipper pelvis framåt. Ökar lordosen i ländryggen. Flexion av ländryggen vid en redan kraftig flexion. Extension av ländryggen vid redan extenderad bål. Kompression av ländryggen.<br><br>M. Iliacus:<br>Tipper pelvis framåt. Ökar lordosen i ländryggen.;M. Psoas major:<br>L1-L4 Rr. Musculares Pl. Lumbalis.<br><br>M. Psoas minor:<br>L1-L2 Rr. Musculares Pl. Lumbalis.<br><br>M. Iliacus:<br>L(1)2-L4 N. Femoralis Pl. Lumbalis.;;images/iliopsoas.png
202;M. Gluteus maximus;;Art. Coxa. Art. Genu indirekt via tractus iliotibialis.;Os coccygis. Os sacrum dorsalt. Crista iliaca (labium externum). Lig. Sacrotuberale.;Tuberositas glutea. Tractus iliotibialis.;;;Extension i art. Coxa. Utåtrotation i art.coxa. Abduktion i art. Coxa av övre delen av muskeln. Adduktion i art. Coxa av nedre delen av muskeln. Extension i art. Genu via tractus iliotibialis. Utåtrotation i art. Genu via tractus iliotibialis vid flekterad knäled.;Tippar pelvis bakåt. Minskar lordosen i ländryggen.;L5-S2 N. Gluteus inferior Pl. Sacralis;;
203;M. Gluteus medius;;Art. Coxa. ;Facies glutea. Crista iliaca.;Trochanter major.;Abduktion i art. Coxa. Förhindrar att pelvis tippar i sidled.;;Främre delen: Flexion i art. Coxa. Utåtrotation i art. Coxa. Horisontalabduktion i art. Coxa. Bakre delen: Extension i art. Coxa. Utåtrotation i art. Coxa. Horisontalabduktion i art. Coxa;Främre del: Tippar pelvis framåt. Ökar lordosen i ländryggen. Bakre del: Tippar pelvis bakåt. Minskar lordosen i ländryggen.;L4-S1. N. Gluteus superior Pl. Sacralis.;Triggerpunkter kan ge ischiasliknande besvär med smärtor ned på baksidan av benet.;
204;M. Gluteus minimus;;Art. Coxa.;Facies glutea nedan crista iliaca.;Trochanter major.;Abduktion i art. Coxa. Förhindrar att pelvis tippar i sidled.;;Främre delen: Flexion i art. Coxa. Inåtrotation i art. Coxa. Bakre delen: Extention i art. Coxa. Utåtrotation i art. Coxa. Horisontalabduktion i art. Coxa.;Främre delen: Tippar pelvis framåt. Ökar lordosen i ländryggen. Bakre delen: Tippar pelvis bakåt. Minskar lordosen i ländryggen.;L4-S1 N. Gluteus superior Pl. Sacralis.;Triggerpunkter ger ischiasliknande besvär med strålningar på baksidan av benet.;
205;M. Piriformis;;Art. Coxa;Anteriora laterala ytan av sacrum (facies pelvina ossis sacri).;Trochanter major kraniellt.;;;Abduktion i art. Coxa. Extension i art. Coxa. Utåtrotation i art. Coxa vid mindre än 60 graders flexion i leden. Inåtrotation i art. Coxa vid mer än 60 graders flexion i leden.;Tippar pelvis bakåt. Minskar lordosen i ländryggen.;(L5)S1-S2 N. Piriformis Pl. Sacralis.;"upphov till ""falsk ishias"". Kan bero på triggerpunkter i muskeln eller att ishiasnerven blivit klämd av muskeln.";
206;M. Gemullus superior;;;Spina ischiadica;Trochanter major medialt.;Extension i art. Coxa. Utåtrotation i art. Coxa.;;;;L5-S2 Rr. Musculares Pl. Sacralis;;
207;M. Gemullus inferior;;;Superiort om tuber ischiadcum;Trochanter major medialt.;Extension i art. Coxa. Utåtrotation i art. Coxa.;;;;L4-S1(2) Rr. Musculares Pl. Sacralis;;
208;M. Obturatorius externus;;;Laterala sidan av membrana obturatoria.;Fossa trochanterica.;Utåtrotation i art. Coxa. Adduktion i art. Coxa.;;;;L3-L4 N. Obturatorius Pl. Lumbalis;;
209;M. Obturatorius internus;;;Mediala sidan av membrana obturatoria;Trochanter major medialt.;Extension i art. Coxa. Utåtrotation i art. Coxa.;;;;L5-S2 Rr. Musculares Pl. Sacralis.;;
210;M. Tensor fascia lata;;Art. Coxa. Art. Genu.;Spina iliaca anterior superior lateralt.;Via tractus iliotibialis på condylus lateralis tibiae.;;;Flexion i art. Coxa. Abduktion i art. Coxa. Horisontalabduktion i art. Coxa. Inåtrotation i art. Coxa. Spänner upp tractus iliotibialis. Extension i art. Genu via tractus iliotibialis. Stabiliserar art. Genu lateralt. Förhindrar att pelvis tippar lateralt. Utåtrotation i art. genu.;Tippar pelvis framåt. Ökar lordosen i ländryggen.;L4-S1 N. Gluteus superior Pl. Sacralis.;Upphov till snapping hip eller löparknä. Triggerpunkter ger smärta över sätet och lårets och vadens bak- och utsida.;
211;M. Quadratus femoris;;;Laterala randen av tuber ischiadicum;Crista intertrochanterica;Adduktion i art. Coxa. Utåtrotation i art. Coxa;;;;L4-S1(2) Rr. Musculares Pl. Sacralis;;
