101;M. Deltoideus;<li>Pars clavicularis</li><li>Pars acromialis</li><li>Pars spinalis</li>;Art. Humeri;Pars clavicularis:<br>Den laterala 1/2- delen av claviculae.<br><br>Pars acromialis:<br>Acromion.<br><br>Pars spinalis:<br>Spina scapulae.;Tuberositas deltoidea;För hela muskeln:<br>Abduktion i art. Humeri. Förhindrar nedåtglidning av caput humeri.<br><br>Pars acromialis:<br>Flexion i art. Humeri. Horisontaladduktion i art. Humeri. Anteflexion i art. Humeri. Inåtrotation i art. Humeri. Adduktion vid mindre än 60 grader. Abduktion i art. Humeri. Kraftig abduktor i art. Humeri vid utåtroterat läge.<br><br>Pars spinalis:<br>Abduktion i art. Humeri. Förhindrar nedåtglidning av caput humeri.<br>Pars spinalis:<br>Extention i art. Humeri. Retroflexion i art. Humeri. Utåtrotation i art. Humeri. Horisontalabduktion i art. Humeri. Adduktion vid mindre än 60 grader. Abduktion i art. Humeri. Kraftig abduktor i art. Humeri vid inåtroterat läge.;;;;C5-C6 N. Axillaris Pl. Brachialis;Muskeln är sin egen antagonist.;image/deltoideus.png
102;M. Teres major;;Art. Humeri. Art. Thoracoscapularis;Angulus inferior scapulae. Margo lateralis scapulae.;Crista tuberculi minoris humeri.;Extention i art. Humeri. Adduktion i art. Humeri. Retroflexion i art. Humeri. Inåtrotation i art. Humeri. Horisontalabduktion i art. Humeri.;Utåtrotation av scapulae. ;;;C5-C7 N. Subscapularis Pl. Brachialis;triggerpunkter i muskeln kan ge smärtor över axelns bakre och mellersta delar och ut i armen.;
103;M. Supraspinatus;;Art. Humeri;Fossa supraspinata scapulae;Tuberculum majus övre del.;Trycker caput humeri mot cavitas glenoidalis. Abduktion i art. Humeri de första 20-40 graderna. Förhindrar nedåtglidning av caput humeri. Utåtrotation i art. Humeri. Spänner upp ledkapseln i art humeri.;;;;C4-C6 N. Suprascapularis Pl. Brachialis;Arbetar i princip alla rörelser. Senan skadas lätt vid rörelser över 90 grader. Triggerpunkter i muskeln ger vanligen smärta till utsidan av axeln ner i överarmen till den laterala epicondylen.;
104;M. Infraspinatus;;Art. Humeri;Fossa infraspinatus scapulae. Spina scapulae.;Tuberculum majus humeri. I höjd med ledens rörelsecentrum nedanför M. Supraspinatus infästning.;Utåtrotation i art. Humeri. Horisontalabduktion i art. Humeri. Trycker caput humeri mot cavitas glenoidale. Förhindrar framåtglidning av caput humeri. Svaga funktioner: Adduktion i art. Humeri av muskelns nedre delar. Abduktion i art. Humeri av muskelns övre delar från ett redan kraftigt abducerat läge. Extention i art. humeri från ett flekterat läge.;;;;C(4)5-C6 N. Suprascapularis Pl. Brachialis;"lätt att bli överbelastad statiskt och kan bilda triggerpunker som strålar ut mot framsidan av axeln och ned i armen samt mot handens tumsida (stor del i ""musarm"").";
105;M. Teres minor;;Art. Humeri;Margo lateralis scapulae. Fascia infraspinata.;Tuberculum majus humeri.;Adduktion i art. Humeri. Extention i art. Humeri. Utåtrotation i art. Humeri. Horisontalabduktion i art. Humeri. Retroflexion i art. Humeri. Förhindrar uppåtglidning av caput humeri. Förhindrar framåtglidning av caput humeri.;;;;C5-C6 N. Axillaris Pl. Brachialis;Triggerpunkt kan ge smärta på framsidan av axeln och ut i överarmen.;
106;M. Subscapularis;;Art. Humeri;Fossa subscapularis;Övergången mellan tuberculum minus och crista tuberculi minoris;Inåtrotation i art. Humeri. Adduktion i art. Humeri den nedre delen. Hindrar bakåtglidning av caput humeri. Hindrar nedåtglidning av caput humeri (övre delen). Hindrar uppåtglidning av caput humeri (nedre delen). Horisontaladduktion i art. Humeri.;;;;C5-C7 N. Subscapularis Pl. Brachialis;Muskelförkortning kan ge en inskränkt utåtrotation i axelleden vilket leder till förkortning av andra inåtrotatorer (ex. Pec. Maj.).  Triggerpunkt upphov till smärta på baksidan av axeln. Belägen ventralt på skulderbladet och är därför svår att palpera.;
107;M. Biceps brachii;<li>Caput longum</li><li>Caput brevis</li>;Art. Humeri. Art. Cubiti, alla tre ledgångar.;Caput longum:<br>Tuberculum supraglenoidale scapulae.<br><br>Caput brevis:<br>Processus coracoideus.;Tuberositas radii. Ulnae proximalt via fascia antebrachii;Flexion i art. Cubiti. Supination av underarmen. Inåtrotation i art. Humeri (caput brevis). Lätt flexion i art. Humeri (caput brevis). Anteflexion i art. Humeri (caput brevis). Lätt abduktion i art. Humeri (caput longum).;;;;C5-C6 N. Musculocutaneus Pl. Brachialis.;;
108;M. Brachialis;;Art. Cubiti (art. Humeroulnaris, art. Humeroradialis).;Anteriort på den distala hälften av humerus.;Tuberositas ulnae. Processus coronoideus.;Flexion i art. Cubiti. Spänner ledkapseln i art. Cubiti.;;;;C5-C6 N. Musculocutaneus Pl. Brachialis;Triggerpunkter ger smärta ut mot tumroten.;
109;M. Triceps brachii;<li>Caput longum</li><li>Caput laterale</li><li>Caput mediale</li>;Art. Cubiti (art. Humeroulnaris, art. Humeroradialis). Art. Humeri (endast caput longum).;Caput longum:<br>Tuberculum infraglenoidale scapulae.<br><br>Caput laterale:<br>Dorsolateralt och proximalt på humerus.<br><br>Caput mediale:<br>Dorso-medialt och distalt på humerus.;Olecranon.;Hela muskeln:<br>Extention i art. Cubiti. Sträcker ledkapseln i art. Cubiti.<br><br>Caput longum:<br>Extention i art. Humeri. Adduktion i art. Humeri. Utåtrotation i art. Humeri. Retroflexion i art. Humeri.;;;;C6-Th1 N. Radialis Pl. Brachialis;Triggerpunkter ger smärta både lokalt, runt armbågen och ut i lill- och ringfinger.;
110;M. Anconeus;;Art. Cubiti;Epicondylus lateralis humeri.;Olecranon. Dorsalt på ulnaes proximala 1/3-del.;Extention i art. Cubiti. Sträcker ledkapseln i art. Cubiti.;;;;C7-C8 N. Radialis Pl. Brachialis;"Triggerpunkt ger besvär liknande ""tennisarmbåge""";
