1;M. Trapezius ;<li>Pars descendens</li><li>Pars transversa</li><li>Pars ascendens</li>;Samtliga intervertebralleder C1-Th12. Art. Thoracoscapularis. Art. Acromioclavicularis. Art. Sternoclavicularis;Skallbasen, protuberantia occipitalis externa. Processus spinosus C2-C7 via ligamentum nuchae. Processus spinosus Th1-Th12.;Pars descendens:<br>Laterala 1/3 av claviculae.<br><br>Pars transversa:<br>Acromion. Spina scapulae.<br><br>Pars ascendens:<br>Spina scapulae. Basis spina scapulae.;;Pars descendens:<br>Lateralflexion av halsrygg och huvud. Kontralateral rotation av halsrygg och huvud.;Pars descendens:<br>Elevation av skuldran. Utåtrotation av scapulae.<br><br>Pars transversa:<br>Adduktion av scapulae. Utåtrotation av scapulae. Lätt extension av bröstryggskotor Th1-Th12.<br><br>Pars ascendens:<br>Depression av scapulae. Utåtrotation av scapulae. Lätt adduktion av scapulae.;Pars descendens:<br>Extention av halsrygg och huvud. Ökar lordosen i halsryggen. Kompression av halsryggen.;C2-C4 N. Accessorius (XI) Pl. Cervicalis.;Delen blir ofta statiskt överbelastad med värk och ömhet i området. Förkortad muskel kan ge rörelseinskränkningar i halsrygg och huvud vid rotation och lateralflexion. Värk och ömhet orsakas av korta antagonister, ex. pectoralis major. Triggerpunkter ger ofta upphov till huvudvärk som går från nacken upp över örat till tinningen och fram till ögat. ;images/muscles/trapezius.png
2;M. Levator scapula;;Samtliga intervertebralleder i cervicalryggen. Art. Thoracoscapularis. Art. Acromioclavicularis. Art. Sternoclavicularis;Processus transversus C1-C4 (tubercula posteriora).;Angulus superior scapulae;;Lateralflexion av halsrygg och huvud. Ipsilateral rotation av halsrygg och huvud.;Elevation av scapulae. Inåtrotation av scapulae.;Extention av halsrygg och huvud.;C3-C5 N. Dorsalis scapulae Pl. Cervicalis;Muskeln är tvinnad i sitt förlopp vilket ger den en extra elasticitet. Muskeln är ofta inblandad i akuta rörelseinskränkningar som smärttillstånd i nacken.;images/muscles/levator_scapula.png
3;M. Latissimus dorsi;;Art. Humeri. Intervertebralleder Th6-L5. Art. Thoracoscapularis.;Via den thoracolumbala fascian (bindvävsblad) - sacrums crista sacralis mediana. Crista iliaca labium externum. Processus spinosus Th6-L5. Costa 9-12 dorsalt.;Crista tuberculi minoris humeri. Angulus inferior scapulae.;;;Adduktion i art. Humeri. Extention i art. Humeri. Retroflexion i art. Humeri. Inåtrotation i art. Humeri. Horisontalabduktion i art. Humeri. Depression av skuldran. Adduktion av scapulae. Inåtrotation av scapulae. Stabiliserar scapulea mot thoraxväggen. Lateralflexion av bålen. Ipsilateral rotation av bålen.;Extention av bålen. Ökar lordosen i ländryggen.;C6-C8 N. Thoracodorsalis Pl. Brachialis;Påverkar bålrörelser framförallt när art.humeri är flekterad eller abducerad. Sista biten är tvinnad för att öka svikten och elasticiteten i muskeln vid hängande i armarna. Triggerpunkter kan ge smärta ut i armen och ner i handens lillfingersida.;images/muscles/latissimus_dorsi.png
4;M. Rhomboideus major;;Art. Thoracoscapularis. Intervertebrallederna Th1-Th5. Art. Acromioclavicularis. Art. Sternoclavicularis;Processus spinosus Th1-Th5.;Margo medialis scapulae inferiort spina scapulae.;;;Adduktion av scapulae. Elevation av scapulae. Inåtrotation av scapulae. Kontralateral rotation av thorakalkotorna Th1-Th5;;C4-C5 N. Dorsalis scapulae Pl. Cervicalis;Påverkas av hållningsproblem. Triggerpunkter upphov till brännande smärta eller domnande känsla. Bra att töja antagonisten pectoralis major för att undvika statisk överbelastning.;images/muscles/rhomboideus_maj_min.png
5;M. Rhomboideus minor;;Art. Thoracoscapularis. Intervertebrallederna C6-C7. Art. Acromioclavicularis. Art. Sternoclavicularis.;Processus spinosus C6-C7;Margo medialis scapulae superiort basis spina scapulae;;Kontralateral rotation av halsrygg och huvud. Lätt lateralflexion av halsrygg och huvud.;Adduktion av scapulae. Elevation av scapulae. Utåtrotation av scapulae.;;C4-C5 N.Dorsalis scapulae Pl. Cervicalis;Muskeln har ingen avskiljbar gräns mot M. R. major,uppkom av att muskeln har funktioner i halsryggen. I övrigt se kommentar för M. R. Major.;images/muscles/rhomboideus_maj_min.png
6;M. Serratus posterior inferior;;Intervertebralleder Th11-L2. Costovertebralleder Th9-Th12;Via den thoracolumbala fascian på processus spinosus Th11-L2.;Costae 9-12;;;Depression av costa 9-12. Ipsilateral rotation av bålen.  Kontralateral rotation av thorakal och ländryggskotorna Th11-L2.;Accessorisk andningsmuskel (vid expiration). Extention av bålen.;Th9-Th12 Rr. Ventralis Nn. Intercostalis;Smärta kan uppkomma vid forcerad andning eller höjning/sänkning av revbenen.;images/muscles/serratus_posterior_inferior.png
7;M. Serratus posterior superior;;;Processus spinosus C6-Th2;Lateralt angulus costae 2-5;;;Höjer costa 2-5. Kontralateral rotation av cervicalrygg.;Extension av bål;Th1-Th4 Nn. Intercostalis;Triggerpunkter ger smärta lokalt och ut i armens baksida och ut i lillfingret. För att att komma åt triggerpunkten måste scapulae först abduceras.;images/muscles/serratus_posterior_superior.png
8;M. Splenius capitis;;;Processus spinosus C3-Th3 cervicalt via lig. Nuchae.;Processus mastoideus. Linea nuchae superior.;;;Lateralflexion av halsryggrad. Ipsilateral rotation av halsryggrad.;Extention av halsryggrad/huvud.;C1-C5 Rr. Dorsales;Visar endast EMG-aktivitet under rotation och extention (dvs. ej vid lateralflexion).;images/muscles/splenius_capitis_cervicis.png
9;M. Splenius cervicis;;;Lig. Supraspinale. Processus spinosus Th3-Th5;Processus transversus tuberculum posteriora C1-C2;;;Ipsilateral rotation av halsryggrad. Lateralflexion av halsryggrad;Extention av halsryggrad.;C1-C5 Rr. Dorsales;Triggerpunkt ger huvudsakligen värk djupt inne bakom ögat.;images/muscles/splenius_capitis_cervicis.png
10;M. Iliocostalis - Sacrospinala systemet;<li>M. Iliocostalis cervicis</li><li> M. Iliocostalis thoracis</li><li>M. Iliocostalis lumborium</li>;Lumborum, thoracis, cervicis (längst och mest lateralt);M. Iliocostalis cervicis:<br>Angulus costae 1-6 medialt om fästet för iliocostalis thoracis.<br><br>M. Iliocostalis thoracis:<br>Angulus costae 6-12 medialt om fästet för iliocostalis lumborum.<br><br>M. Iliocostalis lumborium:<br>Crista iliaca (labrium externum). Facies dorsalis ossis sacri. Processus spinosus Th11-L5.;M. Iliocostalis cervicis:<br>Processus transversus C4-C7 (tuberculum posterior).<br><br>M. Iliocostalis thoracis:<br>Angulus costae 1-6.<br><br>M. Iliocostalis lumborium:<br>Angulus costae 6-12.;Sacrospinala systemet: <br>Extention av bål och huvud. Ipsilateral rotation av bål och huvud. Lateralflexion av bål och huvud. Postural funktion.;;;;C1-S3 Rr. Dorsales Nn. Spinales;;images/muscles/iliocostalis.png
